Date,Rate
1980,6.30%
1981,7.50%
1982,8.60%
1983,10.40%
1984,8.00%
1985,7.30%
1986,6.70%
1987,6.60%
1988,5.70%
1989,5.40%
1990,5.40%
1991,6.40%
1992,7.30%
1993,7.30%
1994,6.60%
1995,5.60%
1996,5.60%
1997,5.30%
1998,4.60%
1999,4.30%
2000,4.00%
2001,4.20%
2002,5.70%
2003,5.80%
2004,5.70%
2005,5.30%
2006,4.70%
2007,4.60%
2008,5.00%
2009,7.80%
2010,9.80%
2011,9.10%
2012,8.30%
2013,8.00%
2014,6.60%
2015,5.70%
2016,4.80%
2017,4.70%
2018,4.00%
2019,4.00%
2020,3.50%
